time rn rw nun nuw Fx Fy Fz iftwn wet pwc pwd pnc pnd Mwc Mwd Mwi Mnc Mnd Mni Msw Msn Pwc_x Pwd_x Pwi_x Pnc_x Pnd_x Pni_x Psw_x Psn_x Pwc_y Pwd_y Pwi_y Pnc_y Pnd_y Pni_y Psw_y Psn_y Pwc_z Pwd_z Pwi_z Pnc_z Pnd_z Pni_z Psw_z Psn_z Kwc Kwd Kwi Knc Knd Kni Dwc Dwd Dnc Dnd Vwc Awc Hwc Xwc Vwd Awd Hwd Xwd Nwd Vnc Anc Hnc Xnc Vnd And Hnd Xnd Nnd Vi Ai Hi Xi Vic Aic Hic Xic Nic
2400000 1 1 0.066666667 0.066666667 0 0 2.4682056e-05 0.02898 433060.72 0.32001535 0.32428219 0.33567363 0.33177736 93851 231619 4312 1456574 20408 243777 3483 108564 0.23848274 2.2004567 -0.14477225 45.720209 -3.286228 -3.182353 -0.3414872 3.15589 0.35138047 0.41310043 0.38466932 -63.667276 1.6420878 -27.923091 0.39093901 1.5456324 -1.1451974 -2.1932446 -0.66006309 322.42868 0.25998718 63.40751 0.37297124 0.096432592 0.010713064 0.78765007 1.4314461 21.634745 0.27474753 4.4668057 1.0828954e-05 0.0015744237 0.30791787 0.0047793949 93851 42376.766 9371.3731 -10 231619 272333.37 321937.02 12042 12685 1456574 349376.84 26730.835 -68 20408 7346.5331 1157.8661 2 8 1296155 564962.64 897.67947 45 1275043 556579.55 47.817493 39 12
2500000 1 1 0.066666667 0.066666667 0 0 2.4682056e-05 0.02898 431852.4 0.31978788 0.32433696 0.33569693 0.33180464 93701 234545 4362 1453786 20420 244020 3290 109162 0.30312921 2.3899753 -0.13200297 44.135581 -3.2472661 -3.7117872 -0.42803391 3.4772321 0.27577057 0.19354462 0.4229027 -63.405152 1.6661546 -28.031247 0.47468468 1.3485508 -1.1544626 -2.2046802 -0.64292484 320.784 0.25610774 63.367664 0.26362215 0.15199959 0.010156647 0.79012529 1.4325652 21.547794 0.27472422 4.4727928 1.1970731e-05 0.0016318409 0.30740596 0.0048061467 93701 42137.613 9149.949 -8 234545 274406.08 322494.33 12057 12713 1453786 348246.51 26630.926 -67 20420 7347.3761 1160.6209 2 7 1295177 564365.56 1053.6814 44 1274031 555973.71 207.47985 38 12
2600000 1 1 0.066666667 0.066666667 0 0 2.4682056e-05 0.02898 431943.2 0.31934544 0.3243066 0.33572148 0.33178263 93167 234161 4351 1454708 20416 243569 2398 108381 0.22283314 2.1516628 -0.11478553 43.913007 -3.2262146 -3.547128 -0.13600646 3.2725204 0.1870882 0.3154816 0.42130124 -63.626517 1.6522803 -28.033178 0.14829292 1.4180778 -1.249775 -2.3602676 -0.64371062 321.14773 0.27719391 63.367833 0.13431341 -0.012266048 0.0080085884 0.78917641 1.4239116 21.576573 0.2747807 4.4530061 1.25436e-05 0.0016302599 0.30715918 0.0048159396 93167 41209.193 8285.5 -5 234161 273817.25 321633.79 12014 12671 1454708 348605.39 26662.829 -67 20416 7346.6929 1161.2657 2 7 1295010 564494.33 1089.0816 48 1274270 556168.53 238.17117 42 11
2700000 1 1 0.066666667 0.066666667 0 0 2.4682056e-05 0.02898 431997.29 0.31948342 0.32427201 0.33571395 0.33174777 93046 233796 4348 1455028 20582 243302 2468 107983 0.1416455 2.1963974 -0.11990694 43.588541 -3.1493451 -3.590141 -0.14280348 3.2777089 0.15330467 0.37145734 0.41826456 -63.521379 1.5063732 -28.01523 0.1197557 1.4796962 -1.1900221 -2.4453822 -0.64489062 321.24679 0.15307112 63.388928 0.029514528 -0.038741482 0.007623083 0.78751926 1.4212408 21.588177 0.27829877 4.4436232 1.4137772e-05 0.0016420176 0.30698488 0.0048686802 93046 41170.913 8411.3273 -5 233796 273122.17 320712.81 11996 12646 1455028 348745.06 26666.653 -67 20582 7376.2311 1167.6663 2 8 1294945 564603.89 1070.4748 50 1274194 556272.72 218.00506 44 11
2800000 1 1 0.066666667 0.066666667 0 0 2.4682056e-05 0.02898 432027.01 0.31967319 0.32424951 0.33570417 0.33171021 93145 233543 4350 1455317 20447 243201 2529 107979 0.15830628 2.2084657 -0.12009215 43.309916 -3.0756263 -3.6593092 -0.14091036 3.329096 0.14508091 0.4069229 0.41507264 -63.576283 1.5851344 -27.957593 0.06803962 1.5478737 -1.1984948 -2.4366766 -0.64345439 321.05369 0.26473772 63.433637 -0.054727516 -0.021572355 0.007712402 0.7873515 1.4196908 21.598821 0.2731024 4.4385619 1.1748164e-05 0.0016491138 0.30696029 0.0048345858 93145 41295.684 8471.9074 -6 233543 272791.14 320425.17 11994 12644 1455317 348833.81 26672.369 -67 20447 7342.7009 1164.2668 2 7 1294941 564649.2 1083.1943 45 1274187 556317.23 237.79019 39 11
2900000 1 1 0.066666667 0.066666667 0 0 2.4682056e-05 0.02898 432040.61 0.3198123 0.32423064 0.33569738 0.33167758 93653 232903 4345 1455254 20642 243140 3269 107847 0.18928604 2.22634 -0.1209973 43.147122 -3.0862172 -3.6989255 -0.44243252 3.3470463 0.30223111 0.20388311 0.41216454 -63.375097 1.4825686 -27.88044 0.38891648 1.5115154 -1.1449474 -2.5372635 -0.64407955 321.11495 0.17087932 63.401716 0.27984955 -0.030364195 0.010101289 0.78468813 1.4185904 21.596637 0.2772653 4.4356941 1.1736271e-05 0.0016383965 0.30686331 0.0049159636 93653 42074.074 9127.659 -6 232903 271831.27 319377.68 11977 12619 1455254 348860.01 26669.511 -67 20642 7373.3945 1167.907 2 8 1294961 564681.71 1100.7214 44 1274205 556348.47 255.31734 38 11
2900000 1 1 0.066666667 0.066666667 0 0 2.4682056e-05 0.02898 432040.61 0.3198123 0.32423064 0.33569738 0.33167758 93653 232903 4345 1455254 20642 243140 3269 107847 0.18928604 2.22634 -0.1209973 43.147122 -3.0862172 -3.6989255 -0.44243252 3.3470463 0.30223111 0.20388311 0.41216454 -63.375097 1.4825686 -27.88044 0.38891648 1.5115154 -1.1449474 -2.5372635 -0.64407955 321.11495 0.17087932 63.401716 0.27984955 -0.030364195 0.010101289 0.78468813 1.4185904 21.596637 0.2772653 4.4356941 1.1736271e-05 0.0016383965 0.30686331 0.0049159636 93653 42074.074 9127.659 -6 232903 271831.27 319377.68 11977 12619 1455254 348860.01 26669.511 -67 20642 7373.3945 1167.907 2 8 1294961 564681.71 1100.7214 44 1274205 556348.47 255.31734 38 11
3000000 1 1 0.066666667 0.066666667 0 0 2.7025611e-05 0.02898 427442.9 0.320773 0.32455178 0.33570164 0.33118307 94462 247545 4663 1447307 13138 246816 4086 116119 0.34805938 1.9375478 -0.12133592 46.453317 -0.53095011 -3.4634964 -0.23570198 3.3073506 0.49957353 0.36946234 0.42731423 -66.522042 1.0256438 -29.303707 0.42126983 1.5297621 -1.216426 -2.3088157 -0.68509835 344.96831 0.19823019 68.665288 -0.10360107 0.56499032 0.012160933 0.81551691 1.5844944 21.372894 0.14327388 4.7382246 1.6035482e-05 0.0018192073 0.30884196 0.0029707907 94462 43204.925 9920.5203 -12 247545 285895.41 328550.64 12207 12901 1447307 346446.5 26791.065 -65 13138 4097.5801 740.33578 3 5 1291835 560459.4 872.61089 42 1271191 552191.35 37.487779 36 11
3100000 1 1 0.066666667 0.066666667 0 0 2.7025611e-05 0.02898 426297.26 0.32070467 0.32473005 0.33570943 0.33127408 97972 246812 4743 1445353 12315 247074 5821 116791 0.16879421 2.045172 -0.10534691 44.412915 -0.31185267 -3.9432988 -0.82358937 2.8416533 0.38094701 0.68638369 0.46055083 -65.746715 0.29263272 -29.315617 0.47410808 1.7562807 -0.94935847 -2.6307489 -0.65699902 343.45708 0.29606158 68.391222 -0.51217438 0.1761243 0.019006411 0.81638366 1.5934791 21.314235 0.12787501 4.7706633 4.4539646e-05 0.0018436997 0.30875395 0.0027625592 97972 46562.274 11759.787 -15 246812 284530.58 327614.91 12272 12943 1445353 345208.42 26578.789 -65 12315 4164.6512 809.37621 4 6 1290504 559462.19 781.35445 45 1279799 555193.58 40.245793 43 10
3200000 1 1 0.066666667 0.066666667 0 0 2.7025611e-05 0.02898 426358.99 0.32029324 0.32471316 0.33573363 0.33125794 97445 246458 4745 1445730 12819 246638 5366 115848 -0.020686918 2.1562334 -0.12072722 44.546016 -0.33781622 -3.7685904 -0.96727609 2.8013513 0.24824527 0.8708872 0.45854182 -66.265612 0.29048879 -29.35604 0.3444273 1.8943957 -0.88899696 -2.8565404 -0.6286268 344.72432 0.23087702 68.593778 -0.10574007 -0.043386363 0.017789417 0.81368652 1.5952647 21.335665 0.13838599 4.7578146 3.8122943e-05 0.0018641661 0.30856401 0.0028245929 97445 45857.816 11294.373 -12 246458 283769.27 326916.04 12227 12899 1445730 345140.85 26464.801 -65 12819 4478.6826 905.85904 4 7 1290141 559491.08 713.21037 44 1279441 555223.95 -28.159119 42 10
3300000 1 1 0.066666667 0.066666667 0 0 2.7025611e-05 0.02898 426297.89 0.32033247 0.32467016 0.33573658 0.33120644 97407 246029 4736 1446221 12795 246109 5261 115087 -0.04906057 2.3523046 -0.13602209 44.172176 -0.33096491 -3.6590293 -0.95434995 2.9411256 0.22995872 1.0190738 0.44506109 -66.877902 0.30817113 -29.293706 0.20681949 1.9261679 -0.9016043 -2.8753901 -0.59089185 345.3184 0.19917166 68.790513 -0.16078443 -0.15602267 0.017319665 0.81167965 1.5786774 21.351051 0.13725573 4.7236193 3.8931908e-05 0.001884263 0.30833164 0.0028390511 97407 45781.402 11212.396 -12 246029 282732.74 325875.2 12192 12860 1446221 345261.95 26458.999 -64 12795 4452.621 903.37961 4 7 1289516 559410.71 661.7845 44 1278816 555143.1 -79.584988 42 10
3400000 1 1 0.066666667 0.066666667 0 0 2.7025611e-05 0.02898 426296.33 0.32041448 0.32465478 0.33573231 0.3311584 97398 245828 4731 1446441 12785 245940 5258 114844 -0.060190436 2.3080605 -0.1607073 43.902223 -0.32479059 -3.7047502 -0.94543113 2.8636365 0.23330188 0.93175465 0.4465475 -67.107149 0.3142454 -29.393565 0.20019453 1.832139 -0.90278848 -2.6883848 -0.59058625 345.01485 0.18664151 68.953791 -0.13582821 -0.014808167 0.01722113 0.81115116 1.5740519 21.358639 0.13696177 4.714469 4.0208095e-05 0.001876272 0.30820327 0.0028397185 97398 45762.521 11196.899 -11 245828 282278.94 325271.92 12179 12847 1446441 345353.06 26470.613 -64 12785 4446.1767 902.19863 4 7 1289335 559412.45 666.8603 46 1278633 555143.51 -75.030847 44 10
3500000 1 1 0.066666667 0.066666667 0 0 2.7025611e-05 0.02898 426302.95 0.32047186 0.32463937 0.33572988 0.33112162 97423 245736 4762 1446500 12793 245890 5321 114669 -0.049323087 2.2733508 -0.17499263 43.80033 -0.32404334 -3.7148845 -0.98529173 2.8525227 0.25548645 0.81958288 0.4167933 -67.113163 0.32284886 -29.375366 0.16690001 1.7960993 -0.91696981 -2.7422155 -0.59521339 345.06778 0.18763398 69.066062 -0.13165894 -0.080477737 0.017330155 0.81129722 1.5728656 21.362689 0.13702296 4.7097127 4.0743709e-05 0.0018785931 0.30814769 0.0028422698 97423 45817.898 11287.248 -11 245736 282064.8 325094.32 12165 12833 1446500 345377.49 26463.063 -64 12793 4445.6873 901.67698 4 7 1289320 559408.02 672.41579 45 1278618 555139.08 -69.475352 43 10
3500000 1 1 0.066666667 0.066666667 0 0 2.7025611e-05 0.02898 426302.95 0.32047186 0.32463937 0.33572988 0.33112162 97423 245736 4762 1446500 12793 245890 5321 114669 -0.049323087 2.2733508 -0.17499263 43.80033 -0.32404334 -3.7148845 -0.98529173 2.8525227 0.25548645 0.81958288 0.4167933 -67.113163 0.32284886 -29.375366 0.16690001 1.7960993 -0.91696981 -2.7422155 -0.59521339 345.06778 0.18763398 69.066062 -0.13165894 -0.080477737 0.017330155 0.81129722 1.5728656 21.362689 0.13702296 4.7097127 4.0743709e-05 0.0018785931 0.30814769 0.0028422698 97423 45817.898 11287.248 -11 245736 282064.8 325094.32 12165 12833 1446500 345377.49 26463.063 -64 12793 4445.6873 901.67698 4 7 1289320 559408.02 672.41579 45 1278618 555139.08 -69.475352 43 10
